Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.97,0.29,0.13,0.97
Mol2,Mol2_0:Mol2_1:Mol2_2,0.26,0.25,0.12,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.98,0.83,0.87,0.93
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.93,0.93,0.83,0.92
Mol5,Mol5_0:Mol5_1:Mol5_2,0.13,0.13,0.00,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.88,0.18,0.19,0.19
Mol7,Mol7_0:Mol7_1:Mol7_2,0.00,0.00,0.00,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.82,0.82,0.87,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.20,0.00,0.00,
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.84,0.84,0.19,0.74
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,1.00,0.00,0.19,0.17
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.98,0.96,0.00,0.99
Mol13,Mol13_0:Mol13_1:Mol13_2,0.91,0.81,0.86,
Mol14,Mol14_0:Mol14_2:Mol14_3,0.91,0.90,0.85,0.79
Mol15,Mol15_0:Mol15_1:Mol15_2,0.87,0.60,0.60,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.89,0.88,0.24,0.89
Mol17,Mol17_0:Mol17_1:Mol17_2,0.99,0.00,0.88,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.81,0.44,0.84,0.23
Mol19,Mol19_0:Mol19_2:Mol19_3,0.96,0.89,0.98,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.88,0.88,0.90,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.95,0.87,0.29,0.95
Mol22,Mol22_0:Mol22_1:Mol22_2,0.95,0.94,0.89,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.93,0.92,0.86,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.97,0.85,0.79,0.92
Mol26,Mol26_0:Mol26_1:Mol26_2,0.90,0.90,0.92,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.90,0.88,0.85,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.96,0.89,0.00,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.87,0.87,0.86,
Mol30,Mol30_0:Mol30_1:Mol30_2,0.98,0.88,0.90,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.89,0.89,0.84,0.89
Mol32,Mol32_0:Mol32_1:Mol32_2,0.86,0.86,0.75,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.87,0.25,0.87,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.96,0.96,0.81,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.89,0.29,0.84,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.96,0.96,0.94,0.90
Mol37,Mol37_0:Mol37_3:Mol37_4,0.85,0.85,0.83,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.88,0.91,0.90,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.94,0.77,0.94,
Mol40,Mol40_0:Mol40_1:Mol40_2,0.33,0.10,0.10,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.89,0.25,0.65,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.93,0.87,0.87,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0,0.12,0,0
