Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.8097026371789018,0.5679740415621266,0.33684247506030673,0.796882202988162
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.8749051818600655,0.7012306818539281,0.674440520904679,0.7447629463352697
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.8907859810059363,0.867638111801035,0.8172482798002038,0.6899383553210651
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.8181630264720086,0.865958275884125,0.4072038722977954,0.7667530509091798
Mol13,Mol13_0:Mol13_1:Mol13_2,0.583204663471188,0.4339937543406286,0.5293757627101868,
Mol14,Mol14_0:Mol14_1:Mol14_2:Mol14_3,0.8460337766978107,0.8443052429758502,0.6198289070524557,0.8451012934392702
Mol15,Mol15_0:Mol15_1:Mol15_2,0.7978630348143674,0.6309794835979604,0.6023779312764832,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.7580568020198144,0.7890638612823956,0.8329985022938708,0.7465031790922001
Mol17,Mol17_0:Mol17_1:Mol17_2,0.7867904252590028,0.5685228969358308,0.42760865183876995,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.7636819030372429,0.5679181625404173,0.6752367895795546,0.8116714261596881
Mol19,Mol19_0:Mol19_2:Mol19_3,0.7817384329765621,0.7718412903559599,0.7896655230151041,
Mol2,Mol2_0:Mol2_1:Mol2_2,0.7348112324657717,0.641719156168992,0.6121672750431305,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.9216546383944787,0.8853114556052589,0.9057818338682472,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.8425496303330731,0.7913540103572102,0.7385394944682988,0.7561321663219747
Mol22,Mol22_0:Mol22_1:Mol22_2,0.9065310145944313,0.7325312458243094,0.9163575169174704,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.7748741058625717,0.7649852639790684,0.6928542574887834,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.8337189307354471,0.7859170886367928,0.6113076420975936,0.7296672591690876
Mol26,Mol26_0:Mol26_1:Mol26_2,0.8319113743031752,0.8304504070039479,0.8402811264138053,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.7294590987122769,0.7234050403549414,0.6137021228483719,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.7819685217955005,0.5770118357006662,0.76768969630389,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.9154873231161288,0.9204106128097733,0.8458096509448361,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.568988001828413,0.6849888696632119,0.5924438149357243,0.4187142760651656
Mol30,Mol30_0:Mol30_1:Mol30_2,0.9549870336203553,0.895231621596436,0.952251528974988,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.8399326190709034,0.7812219738877558,0.17225579939680336,0.822116636945247
Mol32,Mol32_0:Mol32_1:Mol32_2,0.8214742120505216,0.8242935793179876,0.8305246258901157,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.6918784803024026,0.6416139173626838,0.6610703194641321,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.7518056238438323,0.7142469425466704,0.6470658482705633,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.7347131013938132,0.8106208905832174,0.6414590713619794,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.8678166099792595,0.8637542082482275,0.8202735463961286,0.8109008397710762
Mol37,Mol37_0:Mol37_3:Mol37_4,0.8162366581356296,0.8012179465837199,0.7193819054157846,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.8670312344872245,0.7965665306518906,0.784302184939121,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.7404856615373133,0.6310688155473761,0.5732384100312139,
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.7353887704388145,0.6807199561394471,0.7363556218710348,0.5307342764306597
Mol40,Mol40_0:Mol40_1:Mol40_2,0.8895150612342683,0.41415929884014596,0.9058940817482471,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.764741031783034,0.46746321442281086,0.5704001360630329,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.6809318007530935,0.6429599448657152,0.6969664964480983,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.8653720406719662,0.8266318438038147,0.6682164158537071,0.8421408676298038
Mol5,Mol5_0:Mol5_1:Mol5_2,0.7938903815141851,0.7084121449521051,0.6037233595172147,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.8512808273859301,0.8641216814778695,0.7420514566374692,0.5523423804188137
Mol7,Mol7_0:Mol7_1:Mol7_2,0.5787229198274431,0.5967544428005753,0.6375836630797567,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.7583421748878721,0.7164967757034816,0.634786156726776,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.7712083950234101,0.5286408333207372,0.5595466640655054,
