Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.7993990104849661,0.5454328884332135,0.313036168039296,0.7832257107163976
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.8538023097590168,0.648565891637075,0.6545430459116598,0.7264434250146197
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.8593577669755116,0.8433189395015968,0.777714219961254,0.6522798818113712
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.7821063827451915,0.8335845032601887,0.3856625086099028,0.7337621126553474
Mol13,Mol13_0:Mol13_1:Mol13_2,0.5400039476922651,0.39918328889087723,0.47758465285610535,
Mol14,Mol14_0:Mol14_1:Mol14_2:Mol14_3,0.8110985663644601,0.8054903260467549,0.5838992099598435,0.8057648961755254
Mol15,Mol15_0:Mol15_1:Mol15_2,0.7677958003555075,0.5944839709103974,0.5712304687238033,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.7285986945338895,0.7639686318292066,0.8169233237718119,0.7253854412504107
Mol17,Mol17_0:Mol17_1:Mol17_2,0.7485346715914111,0.5365467463143404,0.4210474424242819,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.7178719888763503,0.5349732751018573,0.6279946146090502,0.7736627523840677
Mol19,Mol19_0:Mol19_2:Mol19_3,0.7664774193313393,0.7521457999831712,0.7769404313069066,
Mol2,Mol2_0:Mol2_1:Mol2_2,0.7269197163412721,0.6261181525676859,0.5985337431714484,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.9142497779044503,0.8716992071041276,0.8923150309068785,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.8289613346199408,0.7684517174576051,0.7089783532443942,0.7326778766893668
Mol22,Mol22_0:Mol22_1:Mol22_2,0.8827778343915558,0.6947235650369445,0.8959346436013328,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.741725795485826,0.736938031678633,0.6697931557063731,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.8015676546278206,0.7598622784254248,0.564295488556299,0.6973523686899112
Mol26,Mol26_0:Mol26_1:Mol26_2,0.8083478912011779,0.811982465144946,0.8226620141307986,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.6836062229854772,0.6827219430510985,0.563617143860457,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.7528884497669498,0.545928695448108,0.7420382406990411,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.8835732760788382,0.8901905597337529,0.8062933639703943,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.5398559761219585,0.6653041169463118,0.5724908196699249,0.3894909510169748
Mol30,Mol30_0:Mol30_1:Mol30_2,0.9516364261819492,0.8897294603990785,0.9532971296752748,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.8192575403159227,0.7537193333359982,0.15841414753836572,0.799863563920495
Mol32,Mol32_0:Mol32_1:Mol32_2,0.7961405059146589,0.7990044092008941,0.7988427157061432,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.6736422082249682,0.612265829607071,0.6282135868519602,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.7433767663514325,0.7060043237591427,0.6396931990579688,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.7136509369545782,0.7909746731503826,0.6083703662614397,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.8414166403542738,0.8366043687333251,0.7870063853206012,0.7840816797859833
Mol37,Mol37_0:Mol37_3:Mol37_4,0.7855667254743991,0.7704727717827554,0.696056184034643,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.8518341172826692,0.7757223213800555,0.7582825741500777,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.7307638872251756,0.616499486865339,0.545676906081957,
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.7158406721333379,0.6634894480027753,0.7179188280900762,0.49093963101944443
Mol40,Mol40_0:Mol40_1:Mol40_2,0.8795477197063893,0.3769025243705808,0.9008385295559493,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.7287506480462488,0.42063561874643113,0.5359887528559569,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.6423966248403296,0.6045827905404019,0.6530099922326762,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.8489501866850039,0.8132636417228057,0.6389606482230413,0.8187593500531362
Mol5,Mol5_0:Mol5_1:Mol5_2,0.7817975821096685,0.6875156517770766,0.5753098710328026,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.8252406537851708,0.8337895757182275,0.7088240272988688,0.5106946440555713
Mol7,Mol7_0:Mol7_1:Mol7_2,0.5334141064533832,0.5548283090797421,0.5974425971782314,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.7432609418218277,0.6993254869906791,0.6192266805453507,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.7439703304997984,0.4886460904919802,0.5138328118066425,
