Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.8017459185200992,0.5974752495624308,0.38123821669044305,0.7803890856519241
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.8550282045676195,0.8280055958842895,0.6276056537563406,0.8458863484112988
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.8897396198573212,0.8758788836133898,0.7946949766833045,0.6896341452628313
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.8419473228387289,0.8053352382394858,0.37922429580555167,0.822973680373861
Mol13,Mol13_0:Mol13_1:Mol13_2,0.5843456165488131,0.4827548528388104,0.7600040003507849,
Mol14,Mol14_0:Mol14_1:Mol14_2:Mol14_3,0.8670247134379732,0.8419696952604131,0.6200969064040841,0.8555902105283034
Mol15,Mol15_0:Mol15_1:Mol15_2,0.7861455836068009,0.6112326408338904,0.6084517407537711,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.6575290231040538,0.627880387190757,0.705574094360496,0.6786353438334864
Mol17,Mol17_0:Mol17_1:Mol17_2,0.785466312111771,0.5611486098321798,0.373637686701066,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.6726307341466539,0.6328691445444808,0.6967540606222521,0.7148695986565825
Mol19,Mol19_0:Mol19_2:Mol19_3,0.72155263862818,0.7048479983840837,0.7229733381895963,
Mol2,Mol2_0:Mol2_1:Mol2_2,0.680711712571154,0.6047102746537152,0.5466945624509787,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.887466073813361,0.894244730125093,0.8919835824347352,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.8373507623472837,0.7416531882431382,0.7852634787825561,0.744030001260889
Mol22,Mol22_0:Mol22_1:Mol22_2,0.8395539399224711,0.7415974868539067,0.8593505709254277,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.6069128268287475,0.6020925788286376,0.6482326479918393,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.8233400011956757,0.7508211354634376,0.6755946953893408,0.5720727490853389
Mol26,Mol26_0:Mol26_1:Mol26_2,0.8295739361126461,0.8291737652616816,0.8384503593906808,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.7248956921810967,0.724342758200782,0.6132230955475059,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.8303252185147939,0.6724997390739754,0.8333992626859055,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.8185807061531027,0.8370048726715116,0.7698332475103471,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.4514969300934723,0.5067312444429727,0.6851390642110499,0.5184971460993694
Mol30,Mol30_0:Mol30_1:Mol30_2,0.9156436132047262,0.8455177606478793,0.9105903021030443,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.8042812061417693,0.7586704302464494,0.2576183409194471,0.7992722123444211
Mol32,Mol32_0:Mol32_1:Mol32_2,0.7553241613755559,0.7691907107232845,0.7632920015100358,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.7298571408905716,0.6156710407588066,0.6603305803557884,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.7941390808496775,0.7665459505408008,0.639803952295747,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.7513093361031085,0.7707122252297315,0.6571006179083293,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.8686217055195193,0.8555290420097357,0.7841468684262044,0.7437149029845398
Mol37,Mol37_0:Mol37_3:Mol37_4,0.7854317647959241,0.7768185827830659,0.7864812141756288,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.7750322651035677,0.7072676000579675,0.7088627994200102,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.730459328631719,0.6916736860066861,0.6052016448696365,
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.7818388567763509,0.691387294543826,0.7858847408165671,0.5664469619822177
Mol40,Mol40_0:Mol40_1:Mol40_2,0.8528291358073445,0.38528990687278186,0.8360775568891632,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.6852491482497983,0.48288725336236227,0.517276881706047,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.7459641388091328,0.6412054148028851,0.6861275970267947,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.9068517520015553,0.9260616564199909,0.9167898842240005,0.8503953786949453
Mol5,Mol5_0:Mol5_1:Mol5_2,0.7741013214448523,0.7164274260441265,0.6643846507771707,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.713755062291412,0.7624153014979136,0.7168160127905941,0.5676298510039358
Mol7,Mol7_0:Mol7_1:Mol7_2,0.6656304288829754,0.6614000398289132,0.613886732518594,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.7138835245485737,0.6266481236560232,0.6024423073579351,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.6125699999299278,0.5185365004087468,0.6233391409873371,
