Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.8086059000979525,0.6123372632075547,0.403773798303169,0.7946232555856496
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.8730637956171677,0.8553293208216906,0.6535281587648177,0.8569969640468029
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.9099764746206775,0.8954308250836565,0.8264263255995848,0.7229310481500144
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.8684713588969877,0.8252168452663119,0.3992639814474043,0.8413563195027433
Mol13,Mol13_0:Mol13_1:Mol13_2,0.6189494487964285,0.5139506054151103,0.7985627913776332,
Mol14,Mol14_0:Mol14_1:Mol14_2:Mol14_3,0.8856026062308046,0.8721306779519759,0.647956113545972,0.8833195339569867
Mol15,Mol15_0:Mol15_1:Mol15_2,0.8093658718372119,0.6297152854288841,0.624908112517919,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.670900769581675,0.6571181881497493,0.7153929192791346,0.6873187579543371
Mol17,Mol17_0:Mol17_1:Mol17_2,0.8086182138331862,0.5898315077081162,0.3814742055308206,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.7092766153991141,0.6594566384135488,0.7291967538198632,0.7447664917268406
Mol19,Mol19_0:Mol19_2:Mol19_3,0.7334079703876436,0.7222424663367288,0.7347516511451118,
Mol2,Mol2_0:Mol2_1:Mol2_2,0.6853266097176204,0.6162211148249922,0.5550807174501139,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.8962823964396757,0.9069788258436562,0.8976710306627151,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.842572490817431,0.7572379644959294,0.8041811845134287,0.7623950722387901
Mol22,Mol22_0:Mol22_1:Mol22_2,0.8497929332999786,0.7631774082815247,0.8684444536501083,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.6406410217222124,0.6328516975692638,0.6727365636987784,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.8346933907574302,0.7655013319140243,0.6970504983594173,0.6119628232570503
Mol26,Mol26_0:Mol26_1:Mol26_2,0.8500801098024293,0.843868416200072,0.8559550083732138,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.7626023883356854,0.7599060720280334,0.6542910953638387,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.8501456909711507,0.69724237568907,0.8482657408122319,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.8401604196050981,0.8572464193881404,0.7955201963404572,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.4759910223709773,0.5332768223800517,0.6971919206777809,0.5433973714809848
Mol30,Mol30_0:Mol30_1:Mol30_2,0.9181845434252935,0.8507310443552244,0.9144375210339425,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.8269191679774172,0.7847786269264933,0.273510105401151,0.8203886380090327
Mol32,Mol32_0:Mol32_1:Mol32_2,0.7822164230301497,0.7962443060107621,0.7992710948504153,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.7449058850785533,0.6447863422128515,0.6897740787672645,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.7970842168269856,0.7707985798942503,0.6434062482241575,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.7680079538728433,0.7976899538690152,0.6897765399866301,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.8903902547790282,0.8797226230663809,0.8121434945260254,0.7641760951830439
Mol37,Mol37_0:Mol37_3:Mol37_4,0.8051511182683335,0.7958910029959859,0.7972385821863941,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.7911081891978666,0.730490989821758,0.7297815143367572,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.732740053894801,0.6933942320330899,0.6233268723011601,
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.7913977937169585,0.709922312004196,0.7944339593816708,0.5951235117681754
Mol40,Mol40_0:Mol40_1:Mol40_2,0.864077262571298,0.41131403870069955,0.845305547145113,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.7141285935924033,0.5159444119326243,0.5417365625624762,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.7749102354294342,0.6648569255018268,0.711913484644629,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.9137958698477648,0.9240188728754469,0.9213157797307969,0.8651197054444283
Mol5,Mol5_0:Mol5_1:Mol5_2,0.7861828666532836,0.7334055441964977,0.6803997649394304,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.7457281209313175,0.7901135570950542,0.741462998125087,0.5888492712598989
Mol7,Mol7_0:Mol7_1:Mol7_2,0.6816855993702009,0.686311115952014,0.6441129770194848,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.7403114013351793,0.6547274224614152,0.6262112188011834,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.651085924851678,0.558594881022438,0.6583232132478648,
