Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.8150387558697446,0.5857320110253552,0.3577939604815453,0.8045523655107141
Mol2,Mol2_0:Mol2_1:Mol2_2,0.7353868656691207,0.650607613884797,0.6186705570506789,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.5931962229854326,0.7001848769949556,0.6083827797429736,0.44480878700881626
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.7484568872331492,0.6921515703828611,0.7489899623702896,0.5622368133387078
Mol5,Mol5_0:Mol5_1:Mol5_2,0.7982003301876814,0.721636642564648,0.6263839694374141,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.8657659984859711,0.881048992574007,0.7647379071149198,0.5875063282394127
Mol7,Mol7_0:Mol7_1:Mol7_2,0.614535301090202,0.6305498411197398,0.6689725169508041,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.7669725514937973,0.7269697304983638,0.6458253610346009,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.7900067680719277,0.5641720070158456,0.5969838820924263,
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.8897784296010617,0.7425423496321504,0.6883101290697275,0.7584609772843082
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.9113753182742538,0.8842234614165245,0.8462611016036314,0.7204139924442955
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.8425843065378062,0.8869888471046842,0.4249740871584083,0.7914847940469851
Mol13,Mol13_0:Mol13_1:Mol13_2,0.6158207580741584,0.46400834508745753,0.5722188166139416,
Mol14,Mol14_0:Mol14_2:Mol14_3,0.8708171328037797,0.6477649489601751,0.8740014046392414,
Mol15,Mol15_0:Mol15_1:Mol15_2,0.8175708506207837,0.6571979537010306,0.6252803685013657,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.7780824564741773,0.8044154153731676,0.8409093297919749,0.76120453756238
Mol17,Mol17_0:Mol17_1:Mol17_2,0.8150264034095824,0.5937680967834752,0.43162983751522477,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.7966756192703417,0.5931992084644195,0.711853286609717,0.8373796229493136
Mol19,Mol19_0:Mol19_2:Mol19_3,0.7895572337165078,0.7835049421464746,0.7962042542418978,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.9245989580485627,0.893718878205573,0.9132364449566753,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.8503572787642163,0.8066485491604999,0.761153609967285,0.7730559723363302
Mol22,Mol22_0:Mol22_1:Mol22_2,0.9196107342044572,0.7610659355189965,0.9272992774936949,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.7960367657678056,0.7831182272338187,0.7086933247917013,
Mol24,Mol24_0:Mol24_1:Mol24_2,0.8338544858839246,0.3927083093212992,0.8531435762747706,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.8556829126002331,0.8018886517686226,0.6475486111973526,0.7518668006054754
Mol26,Mol26_0:Mol26_1:Mol26_2,0.8458822566962779,0.8413935809517923,0.8501962749277839,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.7642845105249286,0.753920976515574,0.6545581826033909,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.8029319344078707,0.6012718082819867,0.7893072100301268,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.9348147812720402,0.9376525212869654,0.8725682468415686,
Mol30,Mol30_0:Mol30_1:Mol30_2,0.9517749473564425,0.8957834493110748,0.9467719139234558,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.8518539725285095,0.80009905789953,0.1848259840601658,0.8370722297283064
Mol32,Mol32_0:Mol32_1:Mol32_2,0.8403267948263857,0.8433968334105086,0.8522466592435454,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.7031494272168641,0.6640287010947653,0.6842646436512962,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.7533357261610601,0.7165775380580046,0.6487344012652649,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.7507200208207755,0.8240135792072714,0.669235248819829,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.8857849298877719,0.8821571698484906,0.8453489333902914,0.8298976723681726
Mol37,Mol37_0:Mol37_3:Mol37_4,0.835707169451225,0.821045818663056,0.7344279359903884,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.875623868023415,0.8097261786116575,0.8020395257773634,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.7438834867909216,0.6400996379561824,0.5931669727241291,
Mol40,Mol40_0:Mol40_1:Mol40_2,0.8955159576741797,0.44669775729996014,0.9064505285418486,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.7888541576416355,0.5082124556003338,0.5982840488595502,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.7107158000152292,0.6747307983014963,0.729538715685997,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.8738913667398112,0.8317396537299611,0.6901164846853153,0.855557630107063
