Molecule,Comparison,0,1,2,3
Mol1,Mol1_0:Mol1_1:Mol1_2:Mol1_3,0.29259628685267003,0.23263880403193732,0.18522086964567389,0.28954403946971874
Mol2,Mol2_0:Mol2_1:Mol2_2,0.3560552782401119,0.32711334870807945,0.3168313730518086,
Mol3,Mol3_0:Mol3_1:Mol3_2:Mol3_3,0.2506063967770171,0.27890527889018935,0.2544412907593706,0.21604703357342292
Mol4,Mol4_0:Mol4_1:Mol4_2:Mol4_3,0.2648393036001642,0.2503394817445367,0.2649805204845119,0.21984069417078717
Mol5,Mol5_0:Mol5_1:Mol5_2,0.3612158592186423,0.3345920538233503,0.3041920869580075,
Mol6,Mol6_0:Mol6_1:Mol6_2:Mol6_3,0.2720046145976795,0.2761935880078988,0.24586704939270637,0.2059347480017153
Mol7,Mol7_0:Mol7_1:Mol7_2,0.3255113352564043,0.3307662144944376,0.34372245024915804,
Mol8,Mol8_0:Mol8_1:Mol8_2,0.35128514199327054,0.3375101024424579,0.31120475556427163,
Mol9,Mol9_0:Mol9_1:Mol9_2,0.38134272599167846,0.3042542659622487,0.31440300804607296,
Mol10,Mol10_0:Mol10_1:Mol10_2:Mol10_3,0.28109161119232734,0.24260741353269868,0.22980068221592806,0.246500293059046
Mol11,Mol11_0:Mol11_1:Mol11_2:Mol11_3,0.2676417089153198,0.2604725085333743,0.2507696935520179,0.22111608899928792
Mol12,Mol12_0:Mol12_1:Mol12_2:Mol12_3,0.2736570960450007,0.2860825452460785,0.1802357342830845,0.2600246244258362
Mol13,Mol13_0:Mol13_1:Mol13_2,0.3550525627971058,0.30504320726726414,0.3399042299356301,
Mol14,Mol14_0:Mol14_2:Mol14_3,0.35672721333050206,0.28540784646616596,0.357864940203332,
Mol15,Mol15_0:Mol15_1:Mol15_2,0.3735673803737186,0.3182144396345365,0.30821817999174483,
Mol16,Mol16_0:Mol16_1:Mol16_2:Mol16_3,0.24541148498600693,0.2519597345378326,0.26132457199303394,0.2413042084831265
Mol17,Mol17_0:Mol17_1:Mol17_2,0.4027301580906166,0.3227920952904412,0.27447774661894214,
Mol18,Mol18_0:Mol18_1:Mol18_2:Mol18_3,0.26482288460566894,0.21606619773990454,0.24328629288977907,0.2758246247646474
Mol19,Mol19_0:Mol19_2:Mol19_3,0.3332627763104707,0.3312518642701402,0.3354853594193891,
Mol20,Mol20_0:Mol20_1:Mol20_2,0.33803270499397464,0.32775375231731774,0.33421354268870757,
Mol21,Mol21_0:Mol21_1:Mol21_2:Mol21_3,0.26333093666448176,0.2520689915096755,0.24085808152116728,0.2437419903046755
Mol22,Mol22_0:Mol22_1:Mol22_2,0.349515565149775,0.298271247042098,0.352213187808127,
Mol23,Mol23_0:Mol23_1:Mol23_2,0.34440872903850156,0.33998808719637114,0.31560318376512736,
Mol24,Mol24_0:Mol24_1:Mol24_2,0.37554806667897267,0.24158956975473342,0.38286236356629394,
Mol25,Mol25_0:Mol25_1:Mol25_2:Mol25_3,0.273140754359165,0.258835567410684,0.22181705036174282,0.24620662786840827
Mol26,Mol26_0:Mol26_1:Mol26_2,0.333350587525515,0.3318576380186862,0.3347917744557989,
Mol27,Mol27_0:Mol27_1:Mol27_2,0.34652804520821956,0.3429553349551598,0.3105166198366206,
Mol28,Mol28_0:Mol28_1:Mol28_2,0.3566536866851566,0.2915189812724936,0.35182733204234984,
Mol29,Mol29_0:Mol29_1:Mol29_2,0.3398478805190261,0.3408136501019647,0.31933846937900934,
Mol30,Mol30_0:Mol30_1:Mol30_2,0.340071668011009,0.3215538049361752,0.33837452705281584,
Mol31,Mol31_0:Mol31_1:Mol31_2:Mol31_3,0.2900130937424426,0.2753852862870908,0.1488438968087983,0.2857577231616684
Mol32,Mol32_0:Mol32_1:Mol32_2,0.3316677041933074,0.33268750144977366,0.33564479435691885,
Mol33,Mol33_0:Mol33_1:Mol33_2,0.3397977563449751,0.32676128212734545,0.3334409615276794,
Mol34,Mol34_0:Mol34_1:Mol34_2,0.349089764828168,0.33649083310915723,0.31441940206267477,
Mol35,Mol35_0:Mol35_1:Mol35_2,0.3335787228377022,0.3589461748165865,0.3074751023457112,
Mol36,Mol36_0:Mol36_1:Mol36_2:Mol36_3,0.256252878620226,0.25532493885630403,0.24609773838459992,0.24232444413887003
Mol37,Mol37_0:Mol37_3:Mol37_4,0.34612540570449035,0.3410877593039756,0.31278683499153415,
Mol38,Mol38_0:Mol38_1:Mol38_2,0.3490054913549624,0.32674824035926725,0.32424626828577024,
Mol39,Mol39_0:Mol39_1:Mol39_2,0.3621205130376077,0.326422716090186,0.3114567708722062,
Mol40,Mol40_0:Mol40_1:Mol40_2,0.377447266510226,0.24095559591359303,0.381597137576181,
Mol41,Mol41_0:Mol41_1:Mol41_2,0.38732866351047973,0.2925489169977747,0.3201224194917455,
Mol42,Mol42_0:Mol42_1:Mol42_2,0.3351592872703969,0.3233130023407088,0.34152771038889435,
Mol43,Mol43_0:Mol43_1:Mol43_2:Mol43_3,0.2650635108755948,0.25412283384635964,0.2205654726429592,0.2602481826350864
